Model;;XGBoost;XGBoost;ARIMA;ARIMA;Prophet;Prophet
Metric;;MAE;RMSE;MAE;RMSE;MAE;RMSE
Dataset;Prediction Length;;;;;;
Weather;96;0.0556;0.0659;0.0295;0.0351;0.0351;0.0397
Weather;192;0.0676;0.0796;0.0464;0.0561;0.0384;0.0442
Weather;336;0.0819;0.1012;0.0650;0.0848;0.0432;0.0499
Weather;720;0.1689;0.1878;0.0627;0.0799;0.0657;0.0855
Exchange;96;0.0830;0.1041;0.0495;0.0551;0.0852;0.0886
Exchange;192;0.1329;0.1561;0.0553;0.0631;0.1179;0.1258
Exchange;336;0.1555;0.1739;0.0774;0.0889;0.1623;0.1764
Exchange;720;0.1689;0.1878;0.1012;0.1191;0.2363;0.2560
Traffic;96;0.0562;0.0901;0.0867;0.1182;0.0424;0.0641
Traffic;192;0.0493;0.0821;0.0987;0.1368;0.0459;0.0677
Traffic;336;0.0503;0.0843;0.0980;0.1357;0.0474;0.0718
Traffic;720;0.0507;0.0841;0.0921;0.1251;0.0487;0.0756
Electricity;96;0.0439;0.0565;0.1631;0.1914;0.0857;0.1057
Electricity;192;0.0522;0.0687;0.1648;0.1948;0.0832;0.1027
Electricity;336;0.0535;0.0706;0.1676;0.1987;0.0849;0.1045
Electricity;720;0.0593;0.0792;0.1700;0.2031;0.0862;0.1061
ETTh1;96;0.0540;0.0698;0.0850;0.0993;0.0782;0.0912
ETTh1;192;0.0614;0.0789;0.0970;0.1196;0.0752;0.0891
ETTh1;336;0.0891;0.1184;0.0955;0.1196;0.0852;0.1017
ETTh1;720;0.1064;0.1333;0.1040;0.1315;0.0983;0.1140
ETTm1;96;0.0430;0.0551;0.1415;0.1593;0.0817;0.0948
ETTm1;192;0.0421;0.0542;0.1351;0.1532;0.0778;0.0906
ETTm1;336;0.0508;0.0662;0.1368;0.1544;0.0735;0.0864
ETTm1;720;0.0538;0.0706;0.1363;0.1546;0.0729;0.0859
